glyph_id	unicode_or_tag	usage_count
0x000		0
0x001	 	4632
0x002	0	34
0x003	1	18
0x004	2	15
0x005	3	4
0x006	4	4
0x007	5	5
0x008	6	3
0x009	7	2
0x00A	8	0
0x00B	9	0
0x00C	L	5
0x00D	S	6
0x00E	P	11
0x00F	Y	3
0x010	あ	651
0x011	い	1828
0x012	う	1029
0x013	え	388
0x014	お	758
0x015	か	2135
0x016	き	566
0x017	く	724
0x018	け	572
0x019	こ	919
0x01A	さ	586
0x01B	し	1315
0x01C	す	678
0x01D	せ	308
0x01E	そ	454
0x01F	た	1907
0x020	ち	354
0x021	つ	428
0x022	て	1711
0x023	と	1170
0x024	な	1129
0x025	に	814
0x026	ぬ	36
0x027	ね	210
0x028	の	1282
0x029	は	1189
0x02A	ひ	292
0x02B	ふ	216
0x02C	へ	181
0x02D	ほ	193
0x02E	ま	852
0x02F	み	185
0x030	む	96
0x031	め	189
0x032	も	623
0x033	や	267
0x034	ゆ	35
0x035	よ	548
0x036	ら	653
0x037	り	428
0x038	る	736
0x039	れ	693
0x03A	ろ	173
0x03B	わ	397
0x03C	を	632
0x03D	ん	1191
0x03E	っ	1001
0x03F	ゃ	274
0x040	ゅ	42
0x041	ょ	186
0x042	ア	11
0x043	イ	134
0x044	ウ	16
0x045	エ	38
0x046	オ	42
0x047	カ	58
0x048	キ	84
0x049	ク	164
0x04A	ケ	76
0x04B	コ	87
0x04C	サ	40
0x04D	シ	151
0x04E	ス	175
0x04F	セ	6
0x050	ソ	2
0x051	タ	79
0x052	チ	47
0x053	ツ	13
0x054	テ	112
0x055	ト	145
0x056	ナ	19
0x057	ニ	4
0x058	ヌ	9
0x059	ネ	4
0x05A	ノ	15
0x05B	ハ	171
0x05C	ヒ	142
0x05D	フ	82
0x05E	ヘ	60
0x05F	ホ	63
0x060	マ	43
0x061	ミ	9
0x062	ム	34
0x063	メ	18
0x064	モ	27
0x065	ヤ	1
0x066	ユ	1
0x067	ヨ	29
0x068	ラ	65
0x069	リ	55
0x06A	ル	185
0x06B	レ	115
0x06C	ロ	147
0x06D	ワ	8
0x06E	ヲ	0
0x06F	ン	326
0x070	ッ	108
0x071	ャ	40
0x072	ュ	15
0x073	ョ	5
0x074	ァ	3
0x075	ィ	74
0x076	ェ	57
0x077	ォ	6
0x078	ー	539
0x079	?	296
0x07A	!	814
0x07B	ぁ	0
0x07C	ぃ	2
0x07D	「	41
0x07E	」	9
0x07F	ぅ	0
0x080	ぇ	0
0x081	・	964
0x082	ぉ	7
0x083	COMBINING HANDAKUTEN	129
0x084	COMBINING DAKUTEN	4976
0x085	<GLYPH_085>	0
0x086	<GLYPH_086>	0
0x087	<GLYPH_087>	0
0x088	<GLYPH_088>	0
0x089	※	0
0x08A	島	75
0x08B	物	121
0x08C	城	29
0x08D	行	60
0x08E	入	50
0x08F	説	27
0x090	見	69
0x091	人	98
0x092	伝	25
0x093	何	67
0x094	金	25
0x095	宝	18
0x096	古	61
0x097	来	54
0x098	書	32
0x099	気	38
0x09A	魔	73
0x09B	生	27
0x09C	北	13
0x09D	石	40
0x09E	化	37
0x09F	代	50
0x0A0	話	22
0x0A1	中	47
0x0A2	売	12
0x0A3	館	13
0x0A4	博	12
0x0A5	場	20
0x0A6	聞	24
0x0A7	者	33
0x0A8	買	15
0x0A9	世	18
0x0AA	査	12
0x0AB	審	12
0x0AC	大	58
0x0AD	情	13
0x0AE	報	12
0x0AF	一	16
0x0B0	旅	9
0x0B1	動	31
0x0B2	水	23
0x0B3	屋	19
0x0B4	活	15
0x0B5	悪	12
0x0B6	目	14
0x0B7	学	11
0x0B8	下	22
0x0B9	方	24
0x0BA	冒	7
0x0BB	険	22
0x0BC	千	7
0x0BD	真	8
0x0BE	側	7
0x0BF	明	12
0x0C0	娘	4
0x0C1	写	7
0x0C2	装	75
0x0C3	前	20
0x0C4	備	30
0x0C5	天	6
0x0C6	賞	3
0x0C7	道	31
0x0C8	発	26
0x0C9	町	19
0x0CA	年	12
0x0CB	武	18
0x0CC	巨	13
0x0CD	名	20
0x0CE	多	3
0x0CF	謎	10
0x0D0	歩	3
0x0D1	連	3
0x0D2	子	3
0x0D3	持	54
0x0D4	心	7
0x0D5	地	22
0x0D6	死	21
0x0D7	墓	6
0x0D8	嬢	50
0x0D9	様	12
0x0DA	部	12
0x0DB	考	9
0x0DC	神	21
0x0DD	実	8
0x0DE	芸	3
0x0DF	内	1
0x0E0	音	3
0x0E1	券	4
0x0E2	自	16
0x0E3	間	50
0x0E4	食	10
0x0E5	研	9
0x0E6	史	4
0x0E7	究	9
0x0E8	財	2
0x0E9	鏡	1
0x0EA	歴	4
0x0EB	国	2
0x0EC	銀	2
0x0ED	奥	5
0x0EE	命	14
0x0EF	秘	2
0x0F0	体	32
0x0F1	外	3
0x0F2	遠	1
0x0F3	験	11
0x0F4	以	7
0x0F5	受	3
0x0F6	作	11
0x0F7	不	3
0x0F8	先	3
0x0F9	続	4
0x0FA	誰	28
0x0FB	取	3
0x0FC	感	6
0x0FD	客	7
0x0FE	解	8
0x0FF	立	1
0x100	引	2
0x101	料	2
0x102	紀	2
0x103	界	6
0x104	昔	2
0x105	高	6
0x106	出	21
0x107	力	21
0x108	付	3
0x109	商	6
0x10A	才	3
0x10B	鉱	24
0x10C	山	34
0x10D	戦	4
0x10E	声	2
0x10F	思	26
0x110	火	21
0x111	預	14
0x112	用	13
0x113	囚	11
0x114	交	8
0x115	枚	17
0x116	換	8
0x117	噴	10
0x118	読	15
0x119	溶	8
0x11A	録	2
0x11B	記	12
0x11C	掘	15
0x11D	炉	6
0x11E	会	14
0x11F	寄	2
0x120	日	23
0x121	泊	6
0x122	教	8
0x123	使	31
0x124	具	21
0x125	基	5
0x126	申	3
0x127	玉	5
0x128	上	22
0x129	店	3
0x12A	器	15
0x12B	品	8
0x12C	主	13
0x12D	呪	12
0x12E	通	11
0x12F	所	15
0x130	十	1
0x131	意	8
0x132	敵	1
0x133	印	3
0x134	封	3
0x135	返	4
0x136	官	6
0x137	毒	7
0x138	強	21
0x139	息	1
0x13A	本	11
0x13B	兵	2
0x13C	士	3
0x13D	帰	5
0x13E	度	7
0x13F	乗	5
0x140	休	4
0x141	白	4
0x142	残	3
0x143	管	2
0x144	早	2
0x145	全	3
0x146	護	1
0x147	板	13
0x148	父	1
0x149	観	7
0x14A	光	10
0x14B	民	2
0x14C	能	4
0x14D	侵	7
0x14E	長	2
0x14F	深	1
0x150	今	10
0x151	防	9
0x152	文	12
0x153	字	15
0x154	塔	22
0x155	王	18
0x156	空	13
0x157	法	7
0x158	岩	16
0x159	像	20
0x15A	建	4
0x15B	正	1
0x15C	知	8
0x15D	進	3
0x15E	役	8
0x15F	階	3
0x160	図	3
0x161	家	11
0x162	海	4
0x163	由	3
0x164	時	16
0x165	理	2
0x166	然	3
0x167	口	3
0x168	風	3
0x169	回	12
0x16A	術	6
0x16B	待	8
0x16C	分	8
0x16D	剣	2
0x16E	A	5
0x16F	B	2
0x170	<ICON_170>	3
0x171	<ICON_171>	3
0x172	<ICON_172>	3
0x173	<ICON_173>	3
0x174	<ICON_174>	3
0x175	殿	1
0x176	領	2
0x177	手	12
0x178	変	10
0x179	利	1
0x17A	難	2
0x17B	覚	2
0x17C	花	1
0x17D	樹	1
0x17E	逆	1
0x17F	倍	1
0x180	黒	4
0x181	愛	3
0x182	宿	2
0x183	経	4
0x184	探	20
0x185	熱	4
0x186	効	3
0x187	維	1
0x188	巻	4
0x189	二	8
0x18A	最	8
0x18B	復	15
0x18C	過	1
0x18D	去	1
0x18E	単	1
0x18F	仕	5
0x190	男	5
0x191	絵	10
0x192	勝	3
0x193	謝	5
0x194	位	1
0x195	掛	5
0x196	異	1
0x197	新	2
0x198	流	2
0x199	値	7
0x19A	匠	1
0x19B	船	3
0x19C	題	1
0x19D	耳	2
0x19E	色	5
0x19F	置	47
0x1A0	↘	4
0x1A1	↖	3
0x1A2	↙	0
0x1A3	↗	2
0x1A4	果	2
0x1A5	継	12
0x1A6	後	16
0x1A7	岬	3
0x1A8	埋	2
0x1A9	好	2
0x1AA	奇	2
0x1AB	向	10
0x1AC	集	4
0x1AD	宮	1
0x1AE	司	1
0x1AF	<ICON_1AF>	3
0x1B0	村	3
0x1B1	産	1
0x1B2	沿	0
0x1B3	員	2
0x1B4	土	1
0x1B5	急	1
0x1B6	迷	1
0x1B7	台	2
0x1B8	遺	1
0x1B9	頭	4
0x1BA	身	4
0x1BB	脳	4
0x1BC	冬	1
0x1BD	眠	1
0x1BE	悲	1
0x1BF	惨	1
