table	index	category	prefix_rom_offset	data_rom_offset	stored_bytes	raw_symbols	text
byte	0	entity/name	0x0D8091	0x0D8092	6	6B 84 54 75	レディ
byte	1	entity/name	0x0D8097	0x0D8098	6	4B 70 49 4E	コックス
byte	2	entity/name	0x0D809D	0x0D809E	5	67 4D 46	ヨシオ
byte	3	entity/name	0x0D80A2	0x0D80A3	7	64 84 49 16 20	モグきち
byte	4	entity/name	0x0D80A9	0x0D80AA	7	84 5B 78 84 5F	バーボ
byte	5	entity/name	0x0D80B0	0x0D80B1	6	84 5F 84 5D	ボブ
byte	6	entity/name	0x0D80B6	0x0D80B7	7	19 84 5F 84 5D	こボブ
byte	7	entity/name	0x0D80BD	0x0D80BE	10	84 1B 84 1B 84 5F 84 5D	じじボブ
byte	8	entity/name	0x0D80C7	0x0D80C8	6	4C 84 4D 49	サジク
byte	9	entity/name	0x0D80CD	0x0D80CE	5	63 84 49	メグ
byte	10	entity/name	0x0D80D2	0x0D80D3	5	68 62 4E	ラムス
byte	11	entity/name	0x0D80D7	0x0D80D8	6	47 83 5D 69	カプリ
byte	12	entity/name	0x0D80DD	0x0D80DE	6	4B 6B 49 51	コレクタ
byte	13	entity/name	0x0D80E3	0x0D80E4	10	84 1B 84 1B 11 28 19 13	じじいのこえ
byte	14	entity/name	0x0D80ED	0x0D80EE	8	84 17 3D 1B 40 12	ぐんしゅう
byte	15	entity/name	0x0D80F5	0x0D80F6	8	84 17 3D 1B 40 12	ぐんしゅう
byte	16	entity/name	0x0D80FD	0x0D80FE	8	84 5E 84 5C 1C 18	ベビすけ
byte	17	entity/name	0x0D8105	0x0D8106	8	84 5E 84 5C 2C 11	ベビへい
byte	18	entity/name	0x0D810D	0x0D810E	7	84 5E 84 5C 1F	ベビた
byte	19	entity/name	0x0D8114	0x0D8115	7	84 5E 84 5C 46	ベビオ
byte	20	entity/name	0x0D811B	0x0D811C	9	84 4D 76 43 84 5C 78	ジェイビー
byte	21	entity/name	0x0D8124	0x0D8125	6	5E 84 5D 69	ヘブリ
byte	22	entity/name	0x0D812A	0x0D812B	8	84 55 84 55 5E 43	ドドヘイ
byte	23	entity/name	0x0D8132	0x0D8133	6	84 4A 62 4B	ゲムコ
byte	24	entity/name	0x0D8138	0x0D8139	5	61 57 78	ミニー
byte	25	entity/name	0x0D813D	0x0D813E	7	84 54 64 69 6F	デモリン
byte	26	entity/name	0x0D8144	0x0D8145	7	34 16 84 2D 12	ゆきぼう
byte	27	entity/name	0x0D814B	0x0D814C	8	84 47 58 84 5C 4E	ガヌビス
byte	28	entity/name	0x0D8153	0x0D8154	3	89	※
byte	29	entity/name	0x0D8156	0x0D8157	3	89	※
byte	30	entity/name	0x0D8159	0x0D815A	3	89	※
byte	31	entity/name	0x0D815C	0x0D815D	10	48 6F 84 49 84 5B 6C 6F	キングバロン
byte	32	entity/name	0x0D8166	0x0D8167	3	89	※
byte	33	entity/name	0x0D8169	0x0D816A	6	43 5A 84 5D	イノブ
byte	34	entity/name	0x0D816F	0x0D8170	7	84 5E 84 5C 78	ベビー
byte	35	entity/name	0x0D8176	0x0D8177	4	2E 2F	まみ
byte	36	entity/name	0x0D817A	0x0D817B	4	65 4E	ヤス
byte	37	entity/name	0x0D817E	0x0D817F	4	69 47	リカ
byte	38	entity/name	0x0D8182	0x0D8183	5	84 4A 62	ゲム
byte	39	entity/name	0x0D8187	0x0D8188	3	89	※
byte	40	entity/name	0x0D818A	0x0D818B	6	55 60 55 6F	トマトン
byte	41	entity/name	0x0D8190	0x0D8191	11	84 49 69 78 6F 83 5B 83 5B	グリーンパパ
byte	42	entity/name	0x0D819B	0x0D819C	10	3B 38 11 5D 76 42 69 78	わるいフェアリー
byte	43	entity/name	0x0D81A5	0x0D81A6	9	17 1A 39 55 60 55 6F	くされトマトン
byte	44	entity/name	0x0D81AE	0x0D81AF	8	83 5C 78 5B 6F 60	ピーハンマ
byte	45	entity/name	0x0D81B6	0x0D81B7	10	16 41 84 1F 11 61 61 78	きょだいミミー
byte	46	entity/name	0x0D81C0	0x0D81C1	11	84 23 17 32 3D 84 1B 3A 12	どくもんじろう
byte	47	entity/name	0x0D81CB	0x0D81CC	6	61 84 55 68	ミドラ
byte	48	entity/name	0x0D81D1	0x0D81D2	5	64 49 6F	モクン
byte	49	entity/name	0x0D81D6	0x0D81D7	10	84 5F 6D 84 55 6C 78 6F	ボワドローン
byte	50	entity/name	0x0D81E0	0x0D81E1	10	10 17 2E 83 5B 83 5C 78	あくまパピー
byte	51	entity/name	0x0D81EA	0x0D81EB	8	15 11 2B 17 17 3D	かいふくくん
byte	52	entity/name	0x0D81F2	0x0D81F3	11	11 15 39 84 5D 78 63 68 6F	いかれブーメラン
byte	53	entity/name	0x0D81FD	0x0D81FE	10	69 78 5B 44 6F 84 4F 6F	リーハウンゼン
byte	54	entity/name	0x0D8207	0x0D8208	9	1C 11 2E 61 84 55 68	すいまミドラ
byte	55	entity/name	0x0D8210	0x0D8211	9	16 41 12 2B 1D 3D 1B	きょうふせんし
byte	56	entity/name	0x0D8219	0x0D821A	7	29 36 84 1F 1B	はらだし
byte	57	entity/name	0x0D8220	0x0D8221	12	84 1B 84 19 17 14 84 1B 1A 3D	じごくおじさん
byte	58	entity/name	0x0D822C	0x0D822D	8	1B 3A 11 61 43 68	しろいミイラ
byte	59	entity/name	0x0D8234	0x0D8235	11	84 4B 78 6A 84 55 55 60 55	ゴールドトマト
byte	60	entity/name	0x0D823F	0x0D8240	9	15 3D 84 22 3D 17 3D	かんでんくん
byte	61	entity/name	0x0D8248	0x0D8249	7	83 5C 68 6A 49	ピラルク
byte	62	entity/name	0x0D824F	0x0D8250	9	48 6F 84 49 60 6F 51	キングマンタ
byte	63	entity/name	0x0D8258	0x0D8259	9	1F 19 84 29 3D 25 3D	たこばんにん
byte	64	entity/name	0x0D8261	0x0D8262	10	10 33 21 37 84 5F 78 43	あやつりボーイ
byte	65	entity/name	0x0D826B	0x0D826C	10	56 63 54 6A 55 84 5F 6F	ナメテルトボン
byte	66	entity/name	0x0D8275	0x0D8276	7	1B 40 36 1A 2E	しゅらさま
byte	67	entity/name	0x0D827C	0x0D827D	7	61 71 61 71 6F	ミャミャン
byte	68	entity/name	0x0D8283	0x0D8284	11	84 1F 11 15 11 2B 17 17 3D	だいかいふくくん
byte	69	entity/name	0x0D828E	0x0D828F	6	49 69 46 43	クリオイ
byte	70	entity/name	0x0D8294	0x0D8295	11	84 4D 71 6F 84 5F 55 60 55	ジャンボトマト
byte	71	entity/name	0x0D829F	0x0D82A0	12	84 22 3D 16 84 5D 78 63 68 6F	でんきブーメラン
byte	72	entity/name	0x0D82AB	0x0D82AC	9	64 6A 84 49 28 2A 23	モルグのひと
byte	73	entity/name	0x0D82B4	0x0D82B5	7	43 70 48 72 44	イッキュウ
byte	74	entity/name	0x0D82BB	0x0D82BC	8	84 55 6F 47 52 78	ドンカチー
byte	75	entity/name	0x0D82C3	0x0D82C4	9	84 5B 59 84 54 55 62	バネデトム
byte	76	entity/name	0x0D82CC	0x0D82CD	10	84 22 3D 27 21 84 17 32	でんねつぐも
byte	77	entity/name	0x0D82D6	0x0D82D7	10	84 2A 3E 17 37 84 29 19	びっくりばこ
byte	78	entity/name	0x0D82E0	0x0D82E1	6	5D 74 43 42	ファイア
byte	79	entity/name	0x0D82E6	0x0D82E7	12	2A 84 1F 38 2E 84 1B 84 1B 11	ひだるまじじい
