table	index	category	japanese	machine_english_reference	professional_translation	translator_notes	english_raw_codes
byte	0	entity/name	レディ	Lady			0C 42 45 5A
byte	1	entity/name	コックス	Cox			28 50 59
byte	2	entity/name	ヨシオ	Yoshio			0F 50 54 49 4A 50
byte	3	entity/name	モグきち	Mogukichi			31 50 48 56 4C 4A 44 49 4A
byte	4	entity/name	バーボ	Barbo			27 42 53 43 50
byte	5	entity/name	ボブ	Bob			27 50 43
byte	6	entity/name	こボブ	Bob Jr.			27 50 43 01 2F 53 1D
byte	7	entity/name	じじボブ	Grandpa Bob			2C 53 42 4F 45 51 42 01 27 50 43
byte	8	entity/name	サジク	Sajik			0D 42 4B 4A 4C
byte	9	entity/name	メグ	Meg			31 46 48
byte	10	entity/name	ラムス	Ramus			35 42 4E 56 54
byte	11	entity/name	カプリ	Capri			28 42 51 53 4A
byte	12	entity/name	コレクタ	Collector			28 50 4D 4D 46 44 55 50 53
byte	13	entity/name	じじいのこえ	Old Man's Voice			33 4D 45 01 31 42 4F 16 54 01 38 50 4A 44 46
byte	14	entity/name	ぐんしゅう	Crowd			28 53 50 58 45
byte	15	entity/name	ぐんしゅう	Crowd			28 53 50 58 45
byte	16	entity/name	ベビすけ	Bebisuke			27 46 43 4A 54 56 4C 46
byte	17	entity/name	ベビへい	Bebihei			27 46 43 4A 49 46 4A
byte	18	entity/name	ベビた	Bebita			27 46 43 4A 55 42
byte	19	entity/name	ベビオ	Bebio			27 46 43 4A 50
byte	20	entity/name	ジェイビー	J.B.			2F 1D 27 1D
byte	21	entity/name	ヘブリ	Hebri			2D 46 43 53 4A
byte	22	entity/name	ドドヘイ	Dodohei			29 50 45 50 49 46 4A
byte	23	entity/name	ゲムコ	Gemuko			2C 46 4E 56 4C 50
byte	24	entity/name	ミニー	Minnie			31 4A 4F 4F 4A 46
byte	25	entity/name	デモリン	Demorin			29 46 4E 50 53 4A 4F
byte	26	entity/name	ゆきぼう	Yukibo			0F 56 4C 4A 43 50
byte	27	entity/name	ガヌビス	Ganubis			2C 42 4F 56 43 4A 54
byte	28	entity/name	※	*			19
byte	29	entity/name	※	*			19
byte	30	entity/name	※	*			19
byte	31	entity/name	キングバロン	King Baron			30 4A 4F 48 01 27 42 53 50 4F
byte	32	entity/name	※	*			19
byte	33	entity/name	イノブ	Inobu			2E 4F 50 43 56
byte	34	entity/name	ベビー	Baby			27 42 43 5A
byte	35	entity/name	まみ	Mami			31 42 4E 4A
byte	36	entity/name	ヤス	Yasu			0F 42 54 56
byte	37	entity/name	リカ	Rika			35 4A 4C 42
byte	38	entity/name	ゲム	Gem			2C 46 4E
byte	39	entity/name	※	*			19
byte	40	entity/name	トマトン	Tomaton			36 50 4E 42 55 50 4F
byte	41	entity/name	グリーンパパ	Green Papa			2C 53 46 46 4F 01 0E 42 51 42
byte	42	entity/name	わるいフェアリー	Bad Fairy			27 42 45 01 2B 42 4A 53 5A
byte	43	entity/name	くされトマトン	Rotten Tomaton			35 50 55 55 46 4F 01 36 50 4E 42 55 50 4F
byte	44	entity/name	ピーハンマ	P-Hammer			0E 1C 2D 42 4E 4E 46 53
byte	45	entity/name	きょだいミミー	Giant Mimi			2C 4A 42 4F 55 01 31 4A 4E 4A
byte	46	entity/name	どくもんじろう	Poison Monjiro			0E 50 4A 54 50 4F 01 31 50 4F 4B 4A 53 50
byte	47	entity/name	ミドラ	Midora			31 4A 45 50 53 42
byte	48	entity/name	モクン	Mokun			31 50 4C 56 4F
byte	49	entity/name	ボワドローン	Bowa Drone			27 50 58 42 01 29 53 50 4F 46
byte	50	entity/name	あくまパピー	Devil Puppy			29 46 57 4A 4D 01 0E 56 51 51 5A
byte	51	entity/name	かいふくくん	Heal-kun			2D 46 42 4D 1C 4C 56 4F
byte	52	entity/name	いかれブーメラン	Crazy Boomerang			28 53 42 5B 5A 01 27 50 50 4E 46 53 42 4F 48
byte	53	entity/name	リーハウンゼン	Leehausen			0C 46 46 49 42 56 54 46 4F
byte	54	entity/name	すいまミドラ	Drowsy Midora			29 53 50 58 54 5A 01 31 4A 45 50 53 42
byte	55	entity/name	きょうふせんし	Terror Warrior			36 46 53 53 50 53 01 39 42 53 53 4A 50 53
byte	56	entity/name	はらだし	Belly-Out			27 46 4D 4D 5A 1C 33 56 55
byte	57	entity/name	じごくおじさん	Hell Uncle			2D 46 4D 4D 01 37 4F 44 4D 46
byte	58	entity/name	しろいミイラ	White Mummy			39 49 4A 55 46 01 31 56 4E 4E 5A
byte	59	entity/name	ゴールドトマト	Gold Tomaton			2C 50 4D 45 01 36 50 4E 42 55 50 4F
byte	60	entity/name	かんでんくん	Shock-kun			0D 49 50 44 4C 1C 4C 56 4F
byte	61	entity/name	ピラルク	Pirarucu			0E 4A 53 42 53 56 44 56
byte	62	entity/name	キングマンタ	King Manta			30 4A 4F 48 01 31 42 4F 55 42
byte	63	entity/name	たこばんにん	Octo Guard			33 44 55 50 01 2C 56 42 53 45
byte	64	entity/name	あやつりボーイ	Puppet Boy			0E 56 51 51 46 55 01 27 50 5A
byte	65	entity/name	ナメテルトボン	Nameteru Tobon			32 42 4E 46 55 46 53 56 01 36 50 43 50 4F
byte	66	entity/name	しゅらさま	Lord Shura			0C 50 53 45 01 0D 49 56 53 42
byte	67	entity/name	ミャミャン	Myamyan			31 5A 42 4E 5A 42 4F
byte	68	entity/name	だいかいふくくん	Mega Heal-kun			31 46 48 42 01 2D 46 42 4D 1C 4C 56 4F
byte	69	entity/name	クリオイ	Kurioi			30 56 53 4A 50 4A
byte	70	entity/name	ジャンボトマト	Jumbo Tomaton			2F 56 4E 43 50 01 36 50 4E 42 55 50 4F
byte	71	entity/name	でんきブーメラン	Electric Boomerang			2A 4D 46 44 55 53 4A 44 01 27 50 50 4E 46 53 42 4F 48
byte	72	entity/name	モルグのひと	Morgue Man			31 50 53 48 56 46 01 31 42 4F
byte	73	entity/name	イッキュウ	Ikkyu			2E 4C 4C 5A 56
