group	index	message_id	japanese	machine_english_reference	professional_translation	translator_notes	control_signature	english_cpu_pointer	english_bytes	japanese_symbols
00	00	0x0000	その 方向には 何もない<WAIT_INPUT>	There's nothing that way.<WAIT_INPUT>	It is so easy to edit now.<WAIT_INPUT>		WAIT_INPUT END	EA:0CF8	54 68 65 72 65 27 73 01 6E 6F 74 68 69 6E 67 01 74 68 61 74 01 77 61 79 2E C9 C0	01E 028 001 0B9 1AB 025 029 001 093 032 024 011 1C9 1C0
00	01	0x0001	レディは たからばこをあけてみた	Lady opened the treasure chest.	Look vr, it is so easy to change now!		END	EA:0D13	4C 61 64 79 01 6F 70 65 6E 65 64 01 74 68 65 01 74 72 65 61 73 75 72 65 01 63 68 65 73 74 2E C0	06B 084 054 075 029 001 01F 015 036 084 029 019 03C 010 018 022 02F 01F 1C0
00	02	0x0002	<INSERT_A>を 見つけた	Found <INSERT_A>!			INSERT_A END	EA:0D33	46 6F 75 6E 64 01 C4 21 C0	1C4 03C 001 090 021 018 01F 1C0
00	03	0x0003	はこの中は からだった<WAIT_INPUT>	The chest was empty.<WAIT_INPUT>			WAIT_INPUT END	EA:0D3C	54 68 65 01 63 68 65 73 74 01 77 61 73 01 65 6D 70 74 79 2E C9 C0	029 019 028 0A1 029 001 015 036 084 01F 03E 01F 1C9 1C0
00	04	0x0004	しかし にもつが いっぱいだった<WAIT_INPUT>	But the inventory was full.<WAIT_INPUT>			WAIT_INPUT END	EA:0D52	42 75 74 01 74 68 65 01 69 6E 76 65 6E 74 6F 72 79 01 77 61 73 01 66 75 6C 6C 2E C9 C0	01B 015 01B 001 025 032 021 084 015 001 011 03E 083 029 011 084 01F 03E 01F 1C9 1C0
00	05	0x0005	<INSERT_B>は <INSERT_A>を使った<PAUSE_30>	"<INSERT_B>
used <INSERT_A>.<PAUSE_30>"			INSERT_B NEWLINE INSERT_A PAUSE_30 END	EA:0D6F	CA C8 75 73 65 64 01 C4 2E CD C0	1CA 029 001 1C4 03C 123 03E 01F 1CD 1C0
00	06	0x0006	<INSERT_B>は <INSERT_B>をとなえた<PAUSE_30>	"<INSERT_B> cast
<INSERT_B>.<PAUSE_30>"			INSERT_B NEWLINE INSERT_B PAUSE_30 END	EA:0D7A	CA 01 63 61 73 74 C8 CA 2E CD C0	1CA 029 001 1CA 03C 023 024 013 01F 1CD 1C0
00	07	0x0007	しかし 何ごともおこらない<WAIT_INPUT>	But nothing happened.<WAIT_INPUT>			WAIT_INPUT END	EA:0D85	42 75 74 01 6E 6F 74 68 69 6E 67 01 68 61 70 70 65 6E 65 64 2E C9 C0	01B 015 01B 001 093 084 019 023 032 014 019 036 024 011 1C9 1C0
00	08	0x0008	<INSERT_B>の LPが<NUMBER>回復した<WAIT_INPUT>	"<INSERT_B>
recovered <NUMBER> LP.<WAIT_INPUT>"			INSERT_B NEWLINE NUMBER WAIT_INPUT END	EA:0D9C	CA C8 72 65 63 6F 76 65 72 65 64 01 C2 01 4C 50 2E C9 C0	1CA 028 001 00C 00E 084 015 1C2 169 18B 01B 01F 1C9 1C0
00	09	0x0009	<INSERT_B>の SPが<NUMBER>回復した<WAIT_INPUT>	"<INSERT_B>
recovered <NUMBER> SP.<WAIT_INPUT>"			INSERT_B NEWLINE NUMBER WAIT_INPUT END	EA:0DAF	CA C8 72 65 63 6F 76 65 72 65 64 01 C2 01 53 50 2E C9 C0	1CA 028 001 00D 00E 084 015 1C2 169 18B 01B 01F 1C9 1C0
00	0A	0x000A	ザコナイの効果が なくなった<WAIT_INPUT>	Zakonai's effect wore off.<WAIT_INPUT>			WAIT_INPUT END	EA:0DC2	5A 61 6B 6F 6E 61 69 27 73 01 65 66 66 65 63 74 01 77 6F 72 65 01 6F 66 66 2E C9 C0	084 04C 04B 056 043 028 186 1A4 084 015 001 024 017 024 03E 01F 1C9 1C0
00	0B	0x000B	おふだの効果が なくなった<WAIT_INPUT>	"The Ward Charm's
effect wore off.<WAIT_INPUT>"			NEWLINE WAIT_INPUT END	EA:0DDE	54 68 65 01 57 61 72 64 01 43 68 61 72 6D 27 73 C8 65 66 66 65 63 74 01 77 6F 72 65 01 6F 66 66 2E C9 C0	014 02B 084 01F 028 186 1A4 084 015 001 024 017 024 03E 01F 1C9 1C0
